ref,part,x_mm,y_mm,rotation_deg,side
C0,C,26.984222,19.446557,0,T
C1,C,24.550009,28.510000,0,T
C10,C,24.550000,19.490000,0,T
C11,C,30.806493,28.510000,0,T
C12,C,34.411737,23.122389,0,T
C13,C,33.768505,20.116432,0,T
C2,C,28.986493,28.510000,0,T
C3,C,33.785605,27.156465,0,T
C4,C,34.439677,24.042389,0,T
C5,C,34.425524,21.036432,0,T
C6,C,29.853797,18.570000,0,T
C7,C,30.128505,19.490000,0,T
C8,C,34.428751,21.956432,0,T
C9,C,31.948505,19.574951,0,T
C_IN,C,10.000000,18.000000,0,T
C_OUT,C,18.000000,18.000000,0,T
C_X1,C,15.000000,33.000000,0,T
C_X2,C,21.000000,33.000000,0,T
D1,LED,40.000000,14.000000,0,T
J1,JST_SH,3.000000,7.000000,0,T
J10,JST_SH,53.000000,35.000000,0,T
J11,USBC,28.000000,3.000000,0,T
J2,JST_SH,3.000000,14.000000,0,T
J3,JST_SH,3.000000,21.000000,0,T
J4,JST_SH,3.000000,28.000000,0,T
J5,JST_SH,3.000000,35.000000,0,T
J6,JST_SH,53.000000,7.000000,0,T
J7,JST_SH,53.000000,14.000000,0,T
J8,JST_SH,53.000000,21.000000,0,T
J9,JST_SH,53.000000,28.000000,0,T
L1,IND,22.000000,14.000000,0,T
R_AVDD,R,24.000000,18.000000,0,T
R_BOOT,R,44.000000,34.000000,0,T
R_CC1,R,22.000000,5.000000,0,T
R_CC2,R,34.000000,5.000000,0,T
R_DM,R,31.000000,8.000000,0,T
R_DP,R,25.000000,8.000000,0,T
R_X,R,16.000000,27.000000,0,T
SW1,BTN,40.000000,38.000000,0,T
SW2,BTN,16.000000,38.000000,0,T
U1,RP2350A,28.000000,24.000000,0,T
U2,W25Q,38.000000,30.000000,0,T
U3,REG,14.000000,14.000000,0,T
Y1,XTAL,18.000000,30.000000,0,T
